工作表名称,一级标题,二级标题,表格类型,表格顺序,备注,表格序号,列数合计,列宽1,列宽2,列宽3,列宽4,列宽5,列宽6,列宽7,列宽8,列宽9,列宽10,列宽11,列宽12,列宽13
Z20 成本费用情况表(企财20表),八、财务报表主要项目注释,54、销售费用,2,0,,,,,,,,,,,,,,,,
Z20 成本费用情况表(企财20表)1,八、财务报表主要项目注释,54、销售费用,0,1,,143,3,26.67,26.67,26.67,,,,,,,,,,
Z20 成本费用情况表(企财20表)2,八、财务报表主要项目注释,55、管理费用,0,1,,144,3,26.67,26.67,26.67,,,,,,,,,,
QCF09 货币资金(附注09表),八、财务报表主要项目注释,1、货币资金,1,1,,1,3,41.33,19.33,19.33,,,,,,,,,,
QCF10 受限制的货币资金明细(附注10表),八、财务报表主要项目注释,1、货币资金,5,2,,2,3,41.33,19.33,19.33,,,,,,,,,,
QCF12 以公允价值计量且其变动计入当期损益的金融资产(附注,八、财务报表主要项目注释,2、以公允价值计量且其变动计入当期损益的金融资产,1,1,,3,3,41.33,19.33,19.33,,,,,,,,,,
QCF13 衍生金融资产(附注13表),八、财务报表主要项目注释,3、衍生金融资产,5,1,,4,3,41.33,19.33,19.33,,,,,,,,,,
QCF14 应收票据(附注14表),八、财务报表主要项目注释,4、应收票据,1,1,,5,7,13.27,11.13,11.13,11.13,11.13,11.13,11.07,,,,,,
QCF15 已质押的应收票据(附注15表),八、财务报表主要项目注释,4、应收票据,1,2,,6,2,40,40,,,,,,,,,,,
QCF16 已背书或贴现且资产负债表日尚未到期的应收票据(附注,八、财务报表主要项目注释,4、应收票据,1,3,,7,3,26.67,26.67,26.67,,,,,,,,,,
QCF17 出票人未履约而将其转为应收账款的票据(附注17表),八、财务报表主要项目注释,4、应收票据,1,4,,8,2,40,40,,,,,,,,,,,
QCF18 应收账款(附注18表),八、财务报表主要项目注释,5、应收账款,2,0,,,,,,,,,,,,,,,,
QCF18 应收账款(附注18表)1,八、财务报表主要项目注释,5、应收账款,0,1,,9,5,26.2,13.4,13.47,13.47,13.47,,,,,,,,
QCF18 应收账款(附注18表)2,八、财务报表主要项目注释,5、应收账款,0,2,,10,5,26.2,13.4,13.47,13.47,13.47,,,,,,,,
QCF19 期末单项金额重大并单项计提坏账准备的应收账款(附注,八、财务报表主要项目注释,5、应收账款,5,3,,11,6,13.33,13.33,13.33,13.33,13.33,13.33,,,,,,,
QCF20 采用账龄分析法计提坏账准备的应收账款(附注20表),八、财务报表主要项目注释,5、应收账款,1,4,,12,7,15.8,12.53,9.47,11,12.27,9.2,9.73,,,,,,
QCF21 采用余额百分比法或其他组合方法计提坏账准备的应收账,八、财务报表主要项目注释,5、应收账款,5,5,,13,7,15.87,12.47,9.47,11,12.2,9.27,9.73,,,,,,
QCF22 期末单项金额虽不重大但单项计提坏账准备的应收账款(,八、财务报表主要项目注释,5、应收账款,5,6,,14,6,13.33,13.33,13.33,13.33,13.33,13.33,,,,,,,
QCF23 收回或转回的坏账准备情况（应收账款）(附注23表),八、财务报表主要项目注释,5、应收账款,5,7,,15,4,26.67,13.33,20,20,,,,,,,,,
QCF24 本报告期实际核销的应收账款情况(附注24表),八、财务报表主要项目注释,5、应收账款,5,8,,16,6,18.73,12.27,12.27,12.27,12.27,12.2,,,,,,,
QCF25 按欠款方归集的期末余额前五名的应收账款情况(附注2,八、财务报表主要项目注释,5、应收账款,5,9,,17,4,31.13,12.2,24.53,12.13,,,,,,,,,
QCF26 由金融资产转移而终止确认的应收账款(附注26表),八、财务报表主要项目注释,5、应收账款,5,10,,18,3,31.07,24.47,24.47,,,,,,,,,,
QCF27 应收账款转移(附注27表),八、财务报表主要项目注释,5、应收账款,5,11,,19,2,40,40,,,,,,,,,,,
